iter	MultiClass
0	0.944326729
1	0.8246839412
2	0.7284282268
3	0.6510706514
4	0.5842885114
5	0.5285925029
6	0.4790779068
7	0.4354781593
8	0.3965917653
9	0.3626215225
10	0.332564939
11	0.3059910536
12	0.2817744476
13	0.260020267
14	0.2408535408
15	0.2234516511
16	0.206990978
17	0.1929251735
18	0.1799778247
19	0.1671721824
20	0.1559794315
21	0.1456724427
22	0.1363755566
23	0.1279806293
24	0.1193885692
25	0.1117926741
26	0.1061812892
27	0.09862357252
28	0.09245441579
29	0.0870168948
30	0.08211408687
31	0.07649274616
32	0.0719285831
33	0.06753742874
34	0.06377131051
35	0.05957142734
36	0.0557671304
37	0.05261805153
38	0.04949964357
39	0.04649936957
40	0.04383393559
41	0.04197867825
42	0.03964341339
43	0.03768885739
44	0.03564826947
45	0.03363804413
46	0.03165276732
47	0.02996149203
48	0.02841775678
49	0.02683108481
50	0.02536593743
51	0.02399508184
52	0.02264031986
53	0.02145931729
54	0.02032778984
55	0.01920709767
56	0.01821999504
57	0.01727972211
58	0.01642331116
59	0.01564294364
60	0.01483403327
61	0.01432038753
62	0.01359076002
63	0.0129228267
64	0.01231108161
65	0.01173038768
66	0.01118715876
67	0.01068920093
68	0.01023253569
