iter	Logloss
0	0.3274220228
1	0.1588610411
2	0.0756889383
3	0.03756183883
4	0.01855334143
5	0.009920249383
6	0.005565426002
7	0.003176651274
8	0.001813277913
9	0.001131076831
10	0.0007487513746
11	0.000502760134
12	0.000290559663
13	0.0002258068998
14	0.0001476808684
15	0.0001102560782
16	9.293447753e-05
17	7.516808788e-05
18	5.530951118e-05
19	4.347077144e-05
20	4.051089733e-05
21	3.016522533e-05
22	2.727104826e-05
23	2.727104826e-05
24	2.727104826e-05
25	2.383109919e-05
26	2.280318101e-05
27	2.193205728e-05
28	1.936760721e-05
29	1.848529791e-05
30	1.778230459e-05
31	1.778230459e-05
32	1.495791366e-05
33	1.495791366e-05
34	1.495791366e-05
35	1.495791366e-05
36	1.495791366e-05
37	1.495791366e-05
38	1.495791366e-05
39	1.495791366e-05
40	1.495791366e-05
41	1.495791366e-05
42	1.495791366e-05
43	1.495791366e-05
44	1.495791366e-05
45	1.495791366e-05
46	1.495791366e-05
47	1.495791366e-05
48	1.495791366e-05
49	1.495791366e-05
50	1.495791366e-05
51	1.495791366e-05
52	1.495791366e-05
53	1.495791366e-05
54	1.495791366e-05
55	1.495791366e-05
56	1.495791366e-05
57	1.495791366e-05
58	1.495791366e-05
59	1.495791366e-05
60	1.495791366e-05
61	1.495791366e-05
62	1.495791366e-05
63	1.495791366e-05
64	1.495791366e-05
65	1.495791366e-05
66	1.495791366e-05
67	1.495791366e-05
68	1.495791366e-05
69	1.495791366e-05
70	1.495791366e-05
71	1.495791366e-05
72	1.495791366e-05
73	1.495791366e-05
74	1.495791366e-05
75	1.495791366e-05
76	1.495791366e-05
77	1.495791366e-05
78	1.495791366e-05
79	1.495791366e-05
80	1.495791366e-05
81	1.495791366e-05
82	1.495791366e-05
83	1.495791366e-05
84	1.495791366e-05
85	1.495791366e-05
86	1.495791366e-05
87	1.495791366e-05
88	1.495791366e-05
89	1.495791366e-05
90	1.495791366e-05
91	1.495791366e-05
92	1.495791366e-05
93	1.495791366e-05
94	1.495791366e-05
95	1.495791366e-05
96	1.495791366e-05
97	1.495791366e-05
98	1.495791366e-05
99	1.495791366e-05
100	1.495791366e-05
101	1.495791366e-05
102	1.495791366e-05
103	1.495791366e-05
104	1.495791366e-05
105	1.495791366e-05
106	1.495791366e-05
107	1.495791366e-05
108	1.495791366e-05
109	1.495791366e-05
110	1.495791366e-05
111	1.495791366e-05
112	1.495791366e-05
113	1.495791366e-05
114	1.495791366e-05
115	1.495791366e-05
116	1.495791366e-05
117	1.495791366e-05
118	1.495791366e-05
119	1.495791366e-05
120	1.495791366e-05
121	1.495791366e-05
122	1.495791366e-05
123	1.495791366e-05
124	1.495791366e-05
125	1.495791366e-05
126	1.495791366e-05
127	1.495791366e-05
128	1.495791366e-05
129	1.495791366e-05
130	1.495791366e-05
131	1.495791366e-05
132	1.495791366e-05
133	1.495791366e-05
134	1.495791366e-05
135	1.495791366e-05
136	1.495791366e-05
137	1.495791366e-05
138	1.495791366e-05
139	1.495791366e-05
140	1.495791366e-05
141	1.495791366e-05
142	1.495791366e-05
143	1.495791366e-05
144	1.495791366e-05
145	1.495791366e-05
146	1.495791366e-05
147	1.495791366e-05
148	1.495791366e-05
149	1.495791366e-05
150	1.495791366e-05
151	1.495791366e-05
152	1.495791366e-05
153	1.495791366e-05
154	1.495791366e-05
155	1.495791366e-05
156	1.495791366e-05
157	1.495791366e-05
158	1.495791366e-05
159	1.495791366e-05
160	1.495791366e-05
161	1.495791366e-05
162	1.495791366e-05
163	1.495791366e-05
164	1.495791366e-05
165	1.495791366e-05
166	1.495791366e-05
167	1.495791366e-05
168	1.495791366e-05
169	1.495791366e-05
170	1.495791366e-05
171	1.495791366e-05
172	1.495791366e-05
173	1.495791366e-05
174	1.495791366e-05
175	1.495791366e-05
176	1.495791366e-05
177	1.495791366e-05
178	1.495791366e-05
179	1.495791366e-05
180	1.495791366e-05
181	1.495791366e-05
182	1.495791366e-05
183	1.495791366e-05
184	1.495791366e-05
185	1.495791366e-05
