iter	F1	Logloss
0	0.9473684211	0.3569395009
1	1	0.1645140415
2	1	0.07884904024
3	1	0.03772323599
4	1	0.01873843173
5	1	0.008991371545
6	1	0.005545374123
7	1	0.003636590752
8	1	0.002209567134
9	1	0.001420231967
10	1	0.0009409899896
11	1	0.0006775184375
12	1	0.0004315865418
13	1	0.0003065833812
14	1	0.0002139236534
15	1	0.0001530465903
16	1	0.0001067991764
17	1	9.82786368e-05
18	1	7.216758683e-05
19	1	5.602688172e-05
20	1	4.888147511e-05
21	1	4.032835113e-05
22	1	3.1123462e-05
23	1	2.420706458e-05
24	1	2.200401843e-05
25	1	2.200401843e-05
26	1	2.200401843e-05
27	1	2.200401843e-05
28	1	2.005229956e-05
29	1	1.788896309e-05
30	1	1.788896309e-05
31	1	1.738143627e-05
32	1	1.565939489e-05
33	1	1.512355807e-05
34	1	1.512355807e-05
35	1	1.512355807e-05
36	1	1.512355807e-05
37	1	1.467744231e-05
38	1	1.417939999e-05
39	1	1.378369704e-05
40	1	1.264661745e-05
41	1	1.264661745e-05
42	1	1.193138263e-05
43	1	1.10924157e-05
44	1	1.10924157e-05
45	1	1.10924157e-05
46	1	1.10924157e-05
47	1	1.10924157e-05
48	1	1.10924157e-05
49	1	1.10924157e-05
50	1	1.10924157e-05
51	1	1.10924157e-05
52	1	1.10924157e-05
53	1	1.10924157e-05
54	1	1.10924157e-05
55	1	1.10924157e-05
56	1	1.10924157e-05
57	1	1.10924157e-05
58	1	1.10924157e-05
59	1	1.10924157e-05
60	1	1.10924157e-05
61	1	1.044409696e-05
62	1	1.044409696e-05
63	1	9.860065311e-06
64	1	9.614701875e-06
65	1	9.302757173e-06
66	1	9.302757173e-06
67	1	8.870298412e-06
68	1	8.651124902e-06
69	1	8.421938103e-06
70	1	8.216599515e-06
71	1	7.993548867e-06
72	1	7.793039141e-06
73	1	7.793039141e-06
74	1	7.616882231e-06
75	1	7.256058717e-06
76	1	7.256058717e-06
77	1	7.256058717e-06
78	1	7.072666404e-06
79	1	7.072666404e-06
80	1	6.702194477e-06
81	1	6.702194477e-06
82	1	6.702194477e-06
83	1	6.702194477e-06
84	1	6.702194477e-06
85	1	6.702194477e-06
86	1	6.702194477e-06
87	1	6.702194477e-06
88	1	6.702194477e-06
89	1	6.702194477e-06
90	1	6.702194477e-06
91	1	6.702194477e-06
92	1	6.702194477e-06
93	1	6.702194477e-06
94	1	6.702194477e-06
95	1	6.702194477e-06
96	1	6.702194477e-06
97	1	6.702194477e-06
98	1	6.702194477e-06
99	1	6.702194477e-06
100	1	6.702194477e-06
101	1	6.702194477e-06
102	1	6.702194477e-06
103	1	6.702194477e-06
104	1	6.702194477e-06
105	1	6.702194477e-06
106	1	6.702194477e-06
107	1	6.702194477e-06
108	1	6.702194477e-06
109	1	6.702194477e-06
110	1	6.702194477e-06
111	1	6.702194477e-06
112	1	6.702194477e-06
113	1	6.702194477e-06
114	1	6.702194477e-06
115	1	6.702194477e-06
116	1	6.702194477e-06
117	1	6.702194477e-06
118	1	6.702194477e-06
119	1	6.702194477e-06
120	1	6.702194477e-06
121	1	6.702194477e-06
122	1	6.702194477e-06
123	1	6.702194477e-06
124	1	6.702194477e-06
125	1	6.702194477e-06
126	1	6.702194477e-06
127	1	6.702194477e-06
128	1	6.702194477e-06
129	1	6.702194477e-06
130	1	6.702194477e-06
131	1	6.702194477e-06
132	1	6.702194477e-06
133	1	6.702194477e-06
134	1	6.702194477e-06
135	1	6.702194477e-06
136	1	6.702194477e-06
137	1	6.702194477e-06
138	1	6.702194477e-06
139	1	6.702194477e-06
140	1	6.702194477e-06
141	1	6.702194477e-06
142	1	6.702194477e-06
143	1	6.702194477e-06
144	1	6.702194477e-06
145	1	6.702194477e-06
146	1	6.702194477e-06
147	1	6.702194477e-06
148	1	6.702194477e-06
149	1	6.702194477e-06
150	1	6.702194477e-06
151	1	6.702194477e-06
152	1	6.702194477e-06
153	1	6.702194477e-06
154	1	6.702194477e-06
155	1	6.702194477e-06
156	1	6.702194477e-06
157	1	6.702194477e-06
158	1	6.702194477e-06
159	1	6.702194477e-06
160	1	6.702194477e-06
161	1	6.702194477e-06
162	1	6.702194477e-06
163	1	6.702194477e-06
164	1	6.702194477e-06
165	1	6.702194477e-06
166	1	6.702194477e-06
167	1	6.702194477e-06
168	1	6.702194477e-06
169	1	6.702194477e-06
170	1	6.702194477e-06
171	1	6.702194477e-06
172	1	6.702194477e-06
173	1	6.702194477e-06
174	1	6.702194477e-06
175	1	6.702194477e-06
176	1	6.702194477e-06
177	1	6.702194477e-06
178	1	6.702194477e-06
179	1	6.702194477e-06
180	1	6.702194477e-06
181	1	6.702194477e-06
182	1	6.702194477e-06
183	1	6.702194477e-06
184	1	6.702194477e-06
185	1	6.702194477e-06
