iter	MultiClass
0	0.9579346065
1	0.8537509329
2	0.7635025029
3	0.6920953119
4	0.6300205111
5	0.5749711437
6	0.527555235
7	0.4867507707
8	0.4499814617
9	0.4196712486
10	0.3906410298
11	0.3655423195
12	0.3439786143
13	0.3234774819
14	0.305085756
15	0.2882033639
16	0.273182691
17	0.2591237143
18	0.2463725713
19	0.2360063456
20	0.2258281825
21	0.2163877394
22	0.2092757958
23	0.2022282172
24	0.1943044153
25	0.1876864646
26	0.1806489479
27	0.1753867195
28	0.170494779
29	0.1660265048
30	0.1618594319
31	0.1577269037
32	0.1544643472
33	0.1496336117
34	0.1455053751
35	0.1428250228
36	0.1376282997
37	0.1344962382
38	0.1317325467
39	0.127325544
40	0.1247811674
41	0.1225518556
42	0.1211267692
43	0.1183600142
44	0.1157326875
45	0.1132116809
46	0.109628081
47	0.1073456913
48	0.106342429
49	0.1051351231
50	0.102048708
51	0.1006920111
52	0.09854592165
53	0.09582348169
54	0.0932497333
55	0.09199508264
56	0.09041993405
57	0.08958966811
58	0.08858749845
59	0.08718045704
60	0.08579919433
61	0.08453251485
62	0.08270901364
63	0.08097969917
64	0.07972095735
65	0.07830702772
66	0.07642166202
67	0.07584690975
68	0.07471332256
69	0.07359988648
70	0.07263799182
71	0.07194230849
72	0.07052207407
73	0.06977597009
74	0.06915907558
75	0.06828777588
76	0.06790288254
77	0.06664723115
78	0.06539411587
79	0.06454578445
80	0.06362294406
81	0.06303964295
82	0.06116708555
83	0.06045165304
84	0.06003510247
85	0.05931773914
86	0.05779377431
87	0.05749874682
88	0.05617174621
89	0.05558577598
90	0.05509351309
91	0.05476224259
92	0.05425788926
93	0.05380886421
94	0.05218537963
95	0.05182162668
96	0.05045318307
97	0.05011018724
98	0.0495632553
99	0.04867512478
100	0.04805178896
101	0.04732483006
102	0.04680749112
103	0.04634040183
104	0.04594831449
105	0.04535964433
106	0.04510548973
107	0.04414923531
108	0.04371634045
109	0.04313216952
110	0.04279325774
111	0.04223954657
112	0.04183049528
113	0.04143447966
114	0.04070058687
115	0.04032154973
116	0.04003984482
117	0.03959365202
118	0.03917134206
119	0.03882834837
120	0.03853659345
121	0.03823291076
122	0.03794276454
123	0.03737461859
124	0.0366741944
125	0.03636050006
126	0.03602966972
127	0.03560877791
128	0.03533285453
129	0.03510685978
130	0.03412965409
131	0.03395602213
132	0.03341801479
133	0.03325865584
134	0.03271057489
135	0.03216077632
136	0.03173185425
137	0.03154100849
138	0.03129284943
139	0.03101418229
140	0.03074717761
141	0.03055522479
142	0.03032282398
143	0.0299214281
144	0.02971764772
145	0.02954531085
146	0.02932804009
147	0.02914024059
